"year","rating","length","movie_name","Genres:","Rate:","Added to Netflix:","Director:","Cast:","Production Country:","New Season Added:"
"2021",NA,"1 Season","Transformers: War for Cybertron: Kingdom","Anime Series","","July 29, 2021",NA,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco, Tessho Genda, Ryohei Kimura, Kikuko Inoue, Kazuhiko Inoue, Chafurin",NA,NA
"2021","5.6/10","92 min","Bartkowiak","Action & Adventure, International Movies","","July 28, 2021","Daniel Markowicz","Józef Paw³owski, Zofia Domalik, Szymon Bobrowski, Bart³omiej Topa, Janusz Chabior, Rafa³ Zawierucha, Antoni Pawlicki, Cezary £ukaszewicz, Danuta Stenka, Jan Frycz, Damian Majewski","Poland",NA
"2019","7.7/10","81 min","Fantastic Fungi","Documentaries","","July 28, 2021","Louie Schwartzberg",NA,"United States",NA
"2021",NA,"1 Season","Tattoo Redo","Reality TV","","July 28, 2021",NA,NA,NA,NA
"2021",NA,"7 Seasons","The Flash","Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","",NA,"Glen Winter","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht","United States","July 28, 2021"
"2021",NA,"7 Seasons","The Flash","Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","",NA,"Glen Winter","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht","United States","July 28, 2021"
"2021",NA,"1 Season","The Snitch Cartel: Origins","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","July 28, 2021",NA,"Juan Pablo Urrego, Sebastián Osorio, Patricia Tamayo, Verónica Velásquez, María Camila Zárate, Nicole Santamaría, Eduardo Pérez, Julian Farrieta, Gustavo Angarita Jr., Carlos Manuel Vesga, Helena Mallarino, David Prada, Margarita Reyes, Adriana Silva, Laura Rodríguez, Angélica Blandón, Maia Landaburu, Jesús de los Ríos",NA,NA
"2021","7.8/10","3 Seasons","All American","TV Dramas, Teen TV Shows","",NA,NA,"Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane","United States","July 27, 2021"
"2012","2.9/10","143 min","Department","Action & Adventure, International Movies","","July 27, 2021","Ram Gopal Varma","Amitabh Bachchan, Sanjay Dutt, Rana Daggubati, Vijay Raaz, Abhimanyu Singh, Madhu Shalini, Deepak Tijori, Anjana Sukhani, Manchu Lakshmi","India",NA
"2021",NA,"86 min","Hostage House","Thrillers","","July 27, 2021","David Benullo","Jennifer Taylor, Justin Schilling, Emily Sweet, Julia Terranova, Patrick Cronen, Richard Neil",NA,NA
"2021","7.8/10","3 Seasons","How to Sell Drugs Online (Fast)","Crime TV Shows, International TV Shows, TV Comedies","",NA,NA,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne Mädel, Roland Riebeling","Germany","July 27, 2021"
"2021","5.1/10","4 Seasons","Mighty Express","Kids' TV","",NA,NA,"Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Shombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin","United States, Canada","July 27, 2021"
"2021",NA,"132 min","Mimi","Comedies, Dramas, International Movies","","July 27, 2021","Laxman Utekar","Kriti Sanon, Pankaj Tripathi, Sai Tamhankar, Manoj Pahwa, Supriya Pathak, Evelyn Edwards",NA,NA
"2021",NA,"1 Season","Plastic Cup Boyz: Laughing My Mask Off!","Stand-Up Comedy & Talk Shows, TV Comedies","","July 27, 2021","Royale Watkins, Rich Schlansker","Joey Wells, Will 'Spank' Horton, Na'im Lynn",NA,NA
"2019","5.5/10","117 min","The Operative","Dramas, International Movies, Thrillers","","July 27, 2021","Yuval Adler","Diane Kruger, Martin Freeman, Cas Anvar, Rotem Keinan, Yohanan Herson","France, Israel, Germany, United States, United Kingdom",NA
"2019","8.2/10","10 Seasons","The Walking Dead","Classic & Cult TV, TV Action & Adventure, TV Dramas","",NA,NA,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal","United States","July 26, 2021"
"2020","7.6/10","4 Seasons","Wynonna Earp","International TV Shows, TV Action & Adventure, TV Dramas","",NA,NA,"Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis","Canada, United States","July 26, 2021"
"2012","8.4/10","165 min","Django Unchained","Action & Adventure, Dramas","","July 24, 2021","Quentin Tarantino","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Escalante Lundy, Don Johnson","United States",NA
"2021","5.6/10","91 min","A Second Chance:  Rivals!","Children & Family Movies, Sports Movies","","July 23, 2021","Clay Glen","Emily Morris, Stella Shute, Eva Grados, India Colombi, Nina Pearce, Adam Tuominen, Carmel Johnson, Natasha Wanganeen, Elysia Markou, Alexander Lloyd, Amy Handley","Australia",NA
"2021",NA,"97 min","African America","Dramas, Independent Movies, International Movies","","July 23, 2021","Muzi Mthembu","Phumelele Mthembu, Anthony Goss, Thami Buti, Makhosazana Ndlovu, Zandile Lujabe, Gontse Ntshegang, Roget Ellis, Bridget Pike, Boipelo Nokukhanya Tau, James Raynolds, Nji Alain, Bongani Dlamin",NA,NA
"2021",NA,"97 min","Bankrolled","Comedies, International Movies","","July 23, 2021","Marcos Bucay","Aldo Escalante, Ricardo Polanco, Natalia Téllez, Fabrizio Santini, SeoJu Park, María Chacón, Giuseppe Gamba, Sebastián Zurita",NA,NA
"2021",NA,"123 min","Blood Red Sky","Action & Adventure, Horror Movies, International Movies","","July 23, 2021","Peter Thorwarth","Peri Baumeister, Alexander Scheer, Kais Setti, Carl Koch, Gordon Brown, Roland Moller, Chidi Ajufo, Kai Ivo Baulitz, Graham McTavish, Dominic Purcell",NA,NA
"2021",NA,"1 Season","Feels Like Ishq","International TV Shows, Romantic TV Shows, TV Comedies","","July 23, 2021",NA,"Radhika Madan, Amol Parashar, Rohit Saraf, Kajol Chugh, Tanya Maniktala, Mihir Ahuja, Simran Jehani, Sanjeeta Bhattacharya, Saba Azaad, Skand Thakur, Zayn Marie Khan, Neeraj Madhav",NA,NA
"2021",NA,"94 min","Kingdom: Ashin of the North","Horror Movies, International Movies, Thrillers","","July 23, 2021","Kim Seong-hun","Gianna Jun, Park Byung-eun, Kim Si-a, Kim Roi-ha, Koo Kyo-hwan",NA,NA
"2021",NA,"1 Season","Masters of the Universe: Revelation","TV Action & Adventure, TV Sci-Fi & Fantasy","","July 23, 2021",NA,"Mark Hamill, Lena Headey, Chris Wood, Sarah Michelle Gellar, Liam Cunningham, Stephen Root, Diedrich Bader, Griffin Newman, Tiffany Smith, Henry Rollins, Alan Oppenheimer, Susan Eisenberg, Alicia Silverstone, Justin Long, Jason Mewes, Phil LaMarr, Tony Todd, Cree Summer, Kevin Michael Richardson, Kevin Conroy, Harley Quinn Smith",NA,NA
"2021",NA,"1 Season","Revelations: The Masters of the Universe: Revelation Aftershow","Anime Series, Stand-Up Comedy & Talk Shows","","July 23, 2021",NA,"Kevin Smith, Tiffany Smith, Robert David, Sarah Michelle Gellar, Chris Wood, Liam Cunningham, Alan Oppenheimer, Lena Headey, Kevin Conroy, Henry Rollins, Jason Mewes, Stephen Root, Mark Hamill",NA,NA
"2021","6.3/10","2 Seasons","Sky Rojo","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","",NA,NA,"Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito, Yany Prado, Enric Auquer, Luis Zahera, Carmen Santamaría, Cecilia Gómez, Godeliv Van den Brandt, Penélope Guerrero, Luisa Vides, Niko Verona, Chema Ruiz","Spain","July 23, 2021"
"2021","7.0/10","111 min","The Last Letter From Your Lover","Dramas, Romantic Movies","","July 23, 2021","Augustine Frizzell","Shailene Woodley, Felicity Jones, Callum Turner, Joe Alwyn, Nabhaan Rizwan, Ncuti Gatwa, Emma Appleton, Christian Brassington, Alice Orr-Ewing, Lee Knight, Zoe Boyle, Ben Cross, Diana Kent","United Kingdom",NA
"2021","7.7/10","2 Seasons","The Movies That Made Us","Docuseries","",NA,NA,NA,"United States","July 23, 2021"
"2021",NA,"85 min","9to5: The Story of a Movement","Documentaries","","July 22, 2021",NA,NA,NA,NA
"2015",NA,"65 min","Chhota Bheem - Dinosaur World","Children & Family Movies","","July 22, 2021","Sidheswar Shukla","Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadwaj",NA,NA
"2013",NA,"64 min","Chhota Bheem - Neeli Pahaadi","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2009",NA,"68 min","Chhota Bheem & Ganesh","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2011",NA,"67 min","Chhota Bheem & Krishna: Mayanagari","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2010",NA,"66 min","Chhota Bheem & Krishna: Pataliputra- City of the Dead","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Arun Shekher, Sanchit Wartak",NA,NA
"2013",NA,"64 min","Chhota Bheem And The Broken Amulet","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil","India",NA
"2013",NA,"64 min","Chhota Bheem And The Crown of Valhalla","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2013",NA,"65 min","Chhota Bheem and the Incan Adventure","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2013",NA,"64 min","Chhota Bheem and The ShiNobi Secret","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2012",NA,"68 min","Chhota Bheem Aur Hanuman","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2009","6.2/10","68 min","Chhota Bheem aur Krishna","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Arun Shekher, Sanchit Wartak","India",NA
"2013",NA,"64 min","Chhota Bheem aur Krishna vs Zimbara","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2015",NA,"62 min","Chhota Bheem in African Safari","Children & Family Movies","","July 22, 2021","Binayak Das","Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadwaj, Rajesh Kava",NA,NA
"2019",NA,"63 min","Chhota Bheem Ka Roosi Romanch","Children & Family Movies","","July 22, 2021","Arpan Sarkar, Shyamal Chaulia","Julie Tejwani, Sabina Malik, Jigna Bharadwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kava, Raju",NA,NA
"2010",NA,"69 min","Chhota Bheem: Bheem vs Aliens","Children & Family Movies, Sports Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2012",NA,"70 min","Chhota Bheem: Dholakpur to Kathmandu","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2014",NA,"63 min","Chhota Bheem: Dus Pe Dus","Children & Family Movies","","July 22, 2021","Rajiv Chilaka, Owll Mina","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2011",NA,"68 min","Chhota Bheem: Journey to Petra","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava",NA,NA
"2011","6.6/10","74 min","Chhota Bheem: Master of Shaolin","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Pooja Punabi, Mausam, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Parigna Pandya",NA,NA
"2012",NA,"68 min","Chhota Bheem: The Rise of Kirmada","Children & Family Movies","","July 22, 2021","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NA,NA
"2019","7.5/10","5 Seasons","Chicago Med","TV Dramas","",NA,NA,"Colin Donnell, Torrey DeVitto, Oliver Platt, S. Epatha Merkerson, Nick Gehlfuss, Yaya DaCosta, Laurie Holden","United States","July 22, 2021"
"2021","6.9/10","99 min","Cousins","Dramas","","July 22, 2021","Ainsley Gardiner, Briar Grace-Smith","Rachel House, Briar Grace-Smith, Tanea Heke, Tioreore Ngatai-Melbourne, Ana Scotney, Hariata Moriarty, Chelsie Preston Crayford, Sylvia Rands","New Zealand",NA
"2019",NA,"90 min","Wannabe Courageous","Comedies, International Movies","","July 22, 2021","Mahmoud Karim","Ramez Galal, Jamila Awad, Bayoumi Fouad, Mohamed Abdel-Rahman, Mohammed Tharwat, Maha Abou Ouf, Noor Kadri, Elshahat Mabrouk, Badriyyah Tulbah, Taher Abu Lela, Sara Derzawy",NA,NA
"2021",NA,"87 min","Words Bubble Up Like Soda Pop","Anime Features, Children & Family Movies, International Movies","","July 22, 2021","Kyohei Ishiguro","Somegoro Ichikawa, Hana Sugisaki, Megumi Han, Natsuki Hanae, Yuuichirou Umehara, Megumi Nakajima, Sumire Morohoshi, Hiroshi Kamiya, Maaya Sakamoto, Koichi Yamadera, Kikuko Inoue",NA,NA
"2020",NA,"105 min","Sanitation Day","Dramas, International Movies, Thrillers","","July 21, 2021","Seyi Babatope","Blossom Chukwujekwu, Elozonam Ogbolu, Nse Ikpe-Etim, Belinda Effah, Saeed Mohammed, Chukwuemeka Okoroafor, Kunle Fawole, Chris Okagbue, Adebayo Salami, Charles Inojie, Elvina Ibru, Tobi Bakare","Nigeria",NA
"2021",NA,"1 Season","Sexy Beasts","British TV Shows, International TV Shows, Reality TV","","July 21, 2021",NA,NA,NA,NA
"2021",NA,"1 Season","Too Hot to Handle: Brazil","International TV Shows, Reality TV, Romantic TV Shows","","July 21, 2021",NA,"Bruna Louise",NA,NA
"2021",NA,"106 min","Trollhunters: Rise of the Titans","Children & Family Movies","","July 21, 2021","Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco","Emile Hirsch, Lexi Medrano, Charlie Saxton, Kelsey Grammer, Fred Tatasciore, Steven Yeun, Cole Sand, Amy Landecker, Jonathan Hyde, Thomas F. Wilson, Lauren Tom, Diego Luna, Tatiana Maslany, Nick Offerman, Nick Frost, Colin O'Donoghue, Alfred Molina, Piotr Michael, Kay Bess, Angel Lin, James Hong",NA,NA
"2020","5.0/10","102 min","Milkwater","Comedies, Dramas, Independent Movies","","July 20, 2021","Morgan Ingari","Molly Bernard, Patrick Breen, Robin de Jesús, Ava Eisenson, Ade Otukoya","United States",NA
"2020","9.1/10","1 Season","Okupas","Classic & Cult TV, Crime TV Shows, International TV Shows","","July 20, 2021",NA,"Rodrigo de la Serna, Diego Alonso, Ariel Staltari, Franco Tirri, Ana Celentano, Rosina Soto, Augusto Brítez, Dante Mastropierro, Susana Manchini, Diana Wells","Argentina",NA
"2019",NA,"1 Season","Touch Your Heart","Crime TV Shows, International TV Shows, Romantic TV Shows","","July 20, 2021",NA,"Lee Dong-wook, Yoo In-na, Lee Sang-woo, Son Sung-yoon, Oh Jung-se, Shim Hyoung-tak, Jang So-yeon, Park Ji-hwan, Lee Jun-hyuk",NA,NA
"2021","7.0/10","91 min","The Tambour of Retribution","Dramas, International Movies, Romantic Movies","","July 19, 2021","Abdulaziz Alshlahei","Faisal Al Dokhei, Adwa Fahad, Muhand Alsaleh, Rawya Ahmed, Ajeba Aldosary, Aly Ibrahim, Samer Elkhal, Hashem Hawsawi, Ibrahim Mesisebi, Shabib Alkhaleefa, Abdulateif Saud, Nada Alshehry, Dhay Nasser","Saudi Arabia",NA
"2021","2.4/10","88 min","Cosmic Sin","Action & Adventure","","July 17, 2021","Edward Drake","Frank Grillo, Bruce Willis, Brandon Thomas Lee, Corey Large, Perrey Reeves, C.J. Perry, Lochlyn Munro, Costas Mandylor, Adelaide Kane, Eva De Dominici, Sarah May Sommers, Trevor Gretzky","United States",NA
"2020",NA,"107 min","2 Weeks in Lagos","Dramas, International Movies, Romantic Movies","","July 16, 2021","Kathryn Fasegha","Beverly Naya, Mawuli Gavor, Ajoke Silva, Jide Kosoko, Toyin Abraham, Okey Uzoeshi, Deyemi Okanlawon, Shaffy Bello, Tina Mba, Efe Irele",NA,NA
"2021","4.8/10","101 min","Deep","Dramas, International Movies, Thrillers","","July 16, 2021","Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela","Panisara Rikulsurakan, Kay Lertsittichai, Supanaree Sutavijitvong, Krit Jeerapattananuwong, Warisara Jitpreedasakul, Dujdao Vadhanapakorn, Kim Waddoup, Philaiwan Khamphirathat, Wongsakorn Rassamitat, Bhumibhat Thavornsiri","Thailand",NA
"2021","8.0/10","3 Seasons","Explained","Docuseries, Science & Nature TV","",NA,NA,NA,"United States","July 16, 2021"
"2021",NA,"114 min","Fear Street Part 3: 1666","Horror Movies, LGBTQ Movies","","July 16, 2021","Leigh Janiak","Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Scott Welch, Benjamin Flores Jr., Darrell Britt-Gibson, Sadie Sink, Emily Rudd, McCabe Slye, Julia Rehwald, Fred Hechinger, Jordana Spiro, Jordyn DiNatale",NA,NA
"2021","5.2/10","1 Season","Johnny Test","Kids' TV, TV Comedies","","July 16, 2021",NA,"James Arnold Taylor, Trevor Devall, Maryke Hendrikse, Emily Tennant","United States, Canada",NA
"1999",NA,"123 min","La ley de Herodes","Comedies, International Movies","","July 16, 2021","Luis Estrada","Damián Alcázar, Pedro Armendáriz Jr., Delia Casanova, Juan Carlos Colombo, Alex Cox, Guillermo Gil, Ernesto Gómez Cruz, Leticia Huijara, Luis de Icaza, Eduardo López Rojas, Manuel Ojeda, Salvador Sánchez, Evangelina Sosa, Isela Vega",NA,NA
"2021",NA,"1 Season","Naomi Osaka","Docuseries","","July 16, 2021","Garrett Bradley",NA,NA,NA
"2017","6.2/10","94 min","The Beguiled","Dramas, Independent Movies, Thrillers","","July 16, 2021","Sofia Coppola","Colin Farrell, Nicole Kidman, Kirsten Dunst, Elle Fanning, Oona Laurence, Angourie Rice, Addison Riecke, Emma Howard","United States",NA
"2017","6.8/10","105 min","The Book of Henry","Dramas","","July 16, 2021","Colin Trevorrow","Naomi Watts, Jaeden Martell, Jacob Tremblay, Sarah Silverman, Dean Norris, Lee Pace, Maddie Ziegler, Tonya Pinkins, Bobby Moynihan, Geraldine Hughes","United States",NA
"2011","5.1/10","117 min","The Twilight Saga: Breaking Dawn: Part 1","Dramas, Romantic Movies","","July 16, 2021","Bill Condon","Kristen Stewart, Robert Pattinson, Taylor Lautner, Billy Burke, Peter Facinelli, Elizabeth Reaser, Kellan Lutz, Nikki Reed, Jackson Rathbone, Ashley Greene","United States",NA
"2012","5.7/10","115 min","The Twilight Saga: Breaking Dawn: Part 2","Dramas, Romantic Movies","","July 16, 2021","Bill Condon","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Elizabeth Reaser, Ashley Greene, Jackson Rathbone, Kellan Lutz, Nikki Reed, Billy Burke","United States",NA
"2010","5.2/10","124 min","The Twilight Saga: Eclipse","Dramas, Romantic Movies","","July 16, 2021","David Slade","Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Billy Burke, Dakota Fanning, Peter Facinelli, Elizabeth Reaser, Jackson Rathbone, Kellan Lutz, Ashley Greene, Nikki Reed","United States",NA
